epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2691.88,1.55305,0.77729,0.97591,0.69333,0.000195622,0.000195622,0.000195622
2,5754.58,0.90373,0.83038,0.98722,0.55518,0.000352851,0.000352851,0.000352851
3,8546.3,0.77359,0.84808,0.98918,0.49807,0.000471273,0.000471273,0.000471273
4,11112,0.66176,0.87316,0.99213,0.43443,0.000413364,0.000413364,0.000413364
5,13632.1,0.55767,0.85988,0.99263,0.45172,0.000355152,0.000355152,0.000355152
6,16178.9,0.49664,0.8766,0.99656,0.35262,0.00029694,0.00029694,0.00029694
7,18862.2,0.42055,0.90118,0.99459,0.29525,0.000238728,0.000238728,0.000238728
8,21339.3,0.36877,0.90462,0.99558,0.27836,0.000180516,0.000180516,0.000180516
9,23811.3,0.32277,0.90855,0.99853,0.2671,0.000122304,0.000122304,0.000122304
10,26268.8,0.30103,0.912,0.99607,0.25788,6.4092e-05,6.4092e-05,6.4092e-05
